add,subadd,data
0,0,10000000
0,1,00001000
0,2,10001000
0,3,01000100
0,4,00000000
0,5,00000000
0,6,11111111
0,7,00001100
1,0,10000000
1,1,00001000
1,2,10001000
1,3,01000100
1,4,00000000
1,5,00000000
1,6,11111111
1,7,00001100
2,0,10000000
2,1,00001000
2,2,10001000
2,3,01000100
2,4,00000000
2,5,00000000
2,6,11111111
2,7,00001100
3,0,10000000
3,1,00001000
3,2,10001000
3,3,01000100
3,4,00000000
3,5,00000000
3,6,11111111
3,7,00001100
4,0,10000000
4,1,00001000
4,2,10001000
4,3,01000100
4,4,00000000
4,5,00000000
4,6,11111111
4,7,00001100
5,0,10000000
5,1,00001000
5,2,10001000
5,3,01000100
5,4,00000000
5,5,00000000
5,6,11111111
5,7,00001100
6,0,10000000
6,1,00001000
6,2,10001000
6,3,01000100
6,4,00000000
6,5,00000000
6,6,11111111
6,7,00001100
7,0,10000000
7,1,00001000
7,2,10001000
7,3,01000100
7,4,00000000
7,5,00000000
7,6,11111111
7,7,00001100
8,0,10000000
8,1,00001000
8,2,10001000
8,3,01000100
8,4,00000000
8,5,00000000
8,6,11111111
8,7,00001100
9,0,10000000
9,1,00001000
9,2,10001000
9,3,01000100
9,4,00000000
9,5,00000000
9,6,11111111
9,7,00001100
10,0,10000000
10,1,00001000
10,2,10001000
10,3,01000100
10,4,00000000
10,5,00000000
10,6,11111111
10,7,00001100
11,0,10000000
11,1,00001000
11,2,10001000
11,3,01000100
11,4,00000000
11,5,00000000
11,6,11111111
11,7,00001100
12,0,10000000
12,1,00001000
12,2,10001000
12,3,01000100
12,4,00000000
12,5,00000000
12,6,11111111
12,7,00001100
13,0,10000000
13,1,00001000
13,2,10001000
13,3,01000100
13,4,00000000
13,5,00000000
13,6,11111111
13,7,00001100
14,0,10000000
14,1,00001000
14,2,10001000
14,3,01000100
14,4,00000000
14,5,00000000
14,6,11111111
14,7,00001100
15,0,10000000
15,1,00001000
15,2,10001000
15,3,01000100
15,4,00000000
15,5,00000000
15,6,11111111
15,7,00001100
16,0,10000000
16,1,00001000
16,2,10001000
16,3,01000100
16,4,00000000
16,5,00000000
16,6,11111111
16,7,00001100
17,0,10000000
17,1,00001000
17,2,10001000
17,3,01000100
17,4,00000000
17,5,00000000
17,6,11111111
17,7,00001100
18,0,10000000
18,1,00001000
18,2,10001000
18,3,01000100
18,4,00000000
18,5,00000000
18,6,11111111
18,7,00001100
19,0,10000000
19,1,00001000
19,2,10001000
19,3,01000100
19,4,00000000
19,5,00000000
19,6,11111111
19,7,00001100
20,0,10000000
20,1,00001000
20,2,10001000
20,3,01000100
20,4,00000000
20,5,00000000
20,6,11111111
20,7,00001100
21,0,10000000
21,1,00001000
21,2,10001000
21,3,01000100
21,4,00000000
21,5,00000000
21,6,11111111
21,7,00001100
22,0,10000000
22,1,00001000
22,2,10001000
22,3,01000100
22,4,00000000
22,5,00000000
22,6,11111111
22,7,00001100
23,0,10000000
23,1,00001000
